"//UTM zone 36,",Datum: WGS84,,,,,,,
"//Easting[m],","Northing[m], CH-1",".0m, CH-0.5m,","Quality,",S,"at,",HDO,"P, Time, Date",
705039.318,3621593.085,113.008,80.117,2,8,1.5,32:58.5,11/29/2018
705039.075,3621592.527,113.164,80.508,2,8,1.5,32:58.7,11/29/2018
705038.827,3621591.953,113.359,79.688,2,8,1.5,32:58.9,11/29/2018
705038.582,3621591.389,113.516,79.609,2,8,1.5,32:59.1,11/29/2018
705038.315,3621590.774,112.617,77.891,2,8,1.5,32:59.3,11/29/2018
705038.08,3621590.233,111.641,76.992,2,8,1.5,32:59.4,11/29/2018
705037.838,3621589.755,111.797,78.086,2,8,1.5,32:59.6,11/29/2018
705037.542,3621589.179,111.875,78.398,2,8,1.5,32:59.8,11/29/2018
705037.274,3621588.657,112.148,78.555,2,8,1.5,33:00.0,11/29/2018
705037.024,3621588.172,113.086,79.102,2,8,1.5,33:00.2,11/29/2018
705036.771,3621587.681,112.812,78.438,2,8,1.5,33:00.4,11/29/2018
705036.489,3621587.145,112.5,77.383,2,8,1.5,33:00.6,11/29/2018
705036.116,3621586.449,112.227,77.5,2,8,1.5,33:00.9,11/29/2018
705035.985,3621586.205,111.641,76.445,2,8,1.5,33:01.0,11/29/2018
705035.758,3621585.782,111.211,75.352,2,8,1.5,33:01.1,11/29/2018
705035.491,3621585.283,109.805,74.844,2,8,1.5,33:01.3,11/29/2018
705035.262,3621584.878,110,75.703,2,8,1.5,33:01.5,11/29/2018
705034.9,3621584.297,110.938,76.758,2,8,1.5,33:01.8,11/29/2018
705034.629,3621583.861,111.289,75.43,2,8,1.5,33:02.0,11/29/2018
705034.457,3621583.587,111.719,75.156,2,8,1.5,33:02.1,11/29/2018
705034.17,3621583.126,111.094,75.898,2,8,1.5,33:02.3,11/29/2018
705033.831,3621582.584,111.445,76.094,2,8,1.5,33:02.5,11/29/2018
